interview__key	interview__id	info_activities__id	detail_explain
25-39-21-18	47d12f16d16e4c59ad297d2fca249947	18	snorkelling
39-93-53-12	b3862d69d72c49339824537d5a4b7f8b	12	motel
57-10-82-38	557ff391943c4331800a1fdf93898f33	19	Retail store
45-63-36-62	5ea698aa65004c4ba8e09484372de9a1	9	kava bar
81-08-78-90	cfb724fae601431abd256f3cdbf5186f	8	Taxi service transport
78-34-46-52	a7a35e8f77894ed288571143c9e41998	8	Transport services
67-22-99-76	41e06a5ba955420e98fb8fd9dc0af42d	9	kava bar
44-67-68-73	7f829621b6164626929c245c06d6c5eb	1	Pigery Project, cattle Bullock farm and planting of coconuts
44-67-68-73	7f829621b6164626929c245c06d6c5eb	18	Kayaking and restaurant and Bar
